dollar,bang,money,n000,make,yesno
0.0,0.778,0.0,0.0,0.0,0
0.18,0.372,0.43,0.43,0.21,0
0.184,0.276,0.06,1.16,0.06,0
0.0,0.137,0.0,0.0,0.0,0
0.0,0.135,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.054,0.164,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.203,0.181,0.15,0.0,0.15,0
0.081,0.244,0.0,0.19,0.06,0
0.0,0.462,0.0,0.0,0.0,0
0.0,0.663,0.0,0.0,0.0,0
0.0,0.786,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.357,0.0,0.35,0.0,0
0.063,0.572,0.42,0.0,0.0,0
0.0,0.428,0.0,0.0,0.0,0
0.37,1.975,0.0,0.7,0.0,0
0.0,0.455,0.0,0.0,0.0,0
0.496,0.055,0.63,0.31,0.0,0
0.0,0.729,0.0,0.0,0.0,0
0.046,0.25,0.0,0.05,0.05,0
0.0,0.809,0.0,0.0,0.0,0
0.0,0.667,0.0,0.0,0.0,0
0.196,0.392,0.0,0.0,0.0,0
0.046,0.25,0.0,0.05,0.05,0
0.196,0.392,0.0,0.0,0.0,0
0.0,0.368,3.33,0.0,0.0,0
0.0,0.352,0.0,0.0,0.0,0
0.0,0.091,0.65,0.0,0.0,0
0.0,0.886,0.0,0.0,1.17,0
0.0,2.112,0.0,0.0,0.0,0
0.091,0.0,0.27,0.0,0.0,0
0.302,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,1.543,0.0,0.0,0.0,0
0.0,0.873,0.0,0.0,0.0,0
0.244,0.488,0.0,0.48,0.0,0
0.0,0.963,0.0,0.0,0.0,0
0.0,0.75,0.0,0.0,0.0,0
0.207,0.207,0.61,0.3,0.3,0
0.0,0.671,0.0,0.0,0.0,0
0.0,0.711,0.0,0.0,0.0,0
0.0,0.426,0.0,0.0,0.0,0
0.036,0.813,0.0,0.0,0.0,0
0.068,1.318,0.3,0.0,0.15,0
0.167,0.01,0.06,0.84,0.18,0
0.0,0.17,0.0,0.49,0.49,0
0.756,0.325,0.36,1.05,0.46,0
0.23,0.278,0.26,0.19,0.46,0
0.0,0.0,0.0,0.0,0.0,0
0.332,0.498,0.0,1.83,0.73,0
0.071,0.244,0.0,0.19,0.06,0
0.596,0.198,1.26,0.0,0.0,0
0.333,0.5,0.0,1.83,0.73,0
0.0,1.478,0.0,0.0,0.0,0
0.061,0.615,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,1.501,0.0,0.0,0.0,0
0.0,0.669,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.175,0.23,0.0,0.23,0
0.0,0.0,0.0,0.0,0.0,0
0.048,0.048,0.0,0.0,0.0,0
0.019,0.019,0.0,0.12,0.12,0
0.0,2.205,0.0,0.0,0.66,0
0.294,0.589,0.48,0.0,0.0,0
0.0,0.5,0.0,0.0,0.0,0
0.351,1.053,0.3,0.0,0.3,0
0.1,0.0,0.0,1.96,0.0,0
0.0,0.537,0.0,0.0,0.0,0
0.0,0.877,0.0,0.0,0.0,0
0.0,0.807,0.0,0.0,0.0,0
0.223,0.298,0.0,0.46,0.0,0
0.243,0.486,0.0,0.48,0.0,0
0.0,1.366,0.0,1.88,0.0,0
0.082,0.165,0.0,0.0,0.0,0
0.234,0.437,0.75,0.44,0.75,0
0.0,0.132,0.0,0.62,0.0,0
0.338,0.0,0.0,0.0,0.0,0
0.0,1.431,0.0,0.0,0.0,0
0.0,0.197,0.47,0.0,0.0,0
0.0,0.495,0.0,0.72,0.0,0
0.0,0.724,0.0,1.28,0.0,0
0.0,0.834,0.0,0.0,0.0,0
0.214,0.571,0.46,0.0,0.0,0
0.061,0.061,0.38,0.0,0.0,0
0.0,0.268,0.0,0.0,0.0,0
0.085,0.096,0.06,0.0,0.06,0
0.0,0.0,0.0,0.0,0.0,0
0.333,1.083,0.0,0.0,0.0,0
0.764,0.322,0.34,1.05,0.47,0
0.532,0.613,0.63,0.59,0.59,0
0.531,0.612,0.63,0.59,0.59,0
0.823,0.082,0.0,1.38,0.46,0
0.0,0.0,0.0,0.46,0.0,0
0.0,1.284,0.0,0.0,0.0,0
0.0,0.736,0.0,0.0,0.0,0
0.0,0.31,0.0,0.6,0.0,0
0.527,0.461,0.41,0.0,1.24,0
0.0,0.38,0.0,0.0,0.0,0
0.0,0.662,0.0,0.64,0.0,0
0.0,1.529,0.0,0.0,0.0,0
0.0,0.662,0.0,0.64,0.0,0
0.0,1.529,0.0,0.0,0.0,0
0.0,0.662,0.0,0.64,0.0,0
0.0,1.529,0.0,0.0,0.0,0
0.0,0.462,0.0,0.79,0.0,0
0.0,1.529,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,1.907,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.177,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.119,0.0,0.12,1.13,0.12,0
0.0,0.542,0.0,0.0,0.0,0
0.118,0.054,0.2,0.15,0.05,0
0.118,0.054,0.2,0.15,0.05,0
0.0,0.542,0.0,0.0,0.0,0
0.331,1.158,0.0,0.0,0.0,0
0.118,0.054,0.2,0.15,0.05,0
0.118,0.054,0.2,0.15,0.05,0
1.281,0.335,0.5,0.5,0.5,0
0.024,0.271,0.0,0.0,0.0,0
0.322,0.092,0.0,0.61,0.0,0
0.054,1.194,0.33,0.0,0.16,0
0.178,0.089,0.0,0.0,0.5,0
0.0,0.427,0.59,0.0,0.0,0
0.212,0.706,0.0,0.0,0.0,0
0.149,0.97,0.41,0.82,0.41,0
0.179,0.598,0.0,0.38,0.0,0
0.0,0.121,0.4,0.0,0.0,0
0.0,0.606,0.0,0.0,0.0,0
0.174,0.299,0.0,0.64,0.0,0
0.431,0.215,0.0,2.53,0.0,0
0.16,0.16,0.0,0.19,0.0,0
0.16,0.16,0.0,0.19,0.0,0
0.541,0.12,0.33,1.66,1.0,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.541,0.12,0.33,1.66,1.0,0
0.279,0.558,0.0,0.0,0.0,0
1.281,0.335,0.5,0.5,0.5,0
0.279,0.558,0.0,0.0,0.0,0
0.0,0.715,0.0,0.0,0.0,0
0.431,0.215,0.0,2.53,0.0,0
0.541,0.12,0.33,1.66,1.0,0
0.023,0.865,0.0,0.0,0.0,0
0.126,0.063,0.72,0.0,0.36,0
0.121,0.565,0.27,0.0,0.0,0
0.0,0.261,1.56,0.0,0.39,0
0.33,1.32,0.0,0.0,0.0,0
0.0,0.2,0.0,0.0,0.67,0
0.0,1.055,0.0,0.0,0.0,0
0.0,0.484,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.117,0.117,0.0,0.0,0.0,0
0.0,0.135,0.0,0.0,0.0,0
0.0,1.088,0.42,0.0,0.42,0
0.185,0.0,0.0,0.0,0.0,0
0.146,0.146,0.0,0.0,0.0,0
0.816,0.081,0.0,1.38,0.46,0
0.0,0.265,0.0,0.0,0.14,0
0.0,0.0,0.0,0.0,0.0,0
0.816,0.081,0.0,1.38,0.46,0
0.0,0.517,0.62,0.0,0.62,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.7,0.0,0.0,0.0,0
0.024,0.567,0.0,0.0,0.0,0
0.0,0.518,0.57,0.0,0.0,0
0.0,0.31,0.52,0.0,0.52,0
0.013,0.095,0.08,0.34,0.17,0
0.0,0.892,0.0,0.0,0.0,0
0.0,1.443,0.0,0.0,0.0,0
0.0,0.889,0.0,0.78,0.0,0
0.0,0.968,0.0,1.02,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.145,0.944,0.44,0.0,0.44,0
0.0,0.583,0.0,0.0,0.0,0
0.0,0.969,0.0,1.02,0.0,0
0.258,0.258,0.34,0.34,0.34,0
0.259,0.259,0.34,0.34,0.34,0
0.0,0.835,0.43,0.0,0.43,0
0.144,1.083,0.44,0.0,0.44,0
0.0,0.118,0.0,0.0,0.0,0
0.0,1.754,0.0,0.0,0.0,0
0.14,0.032,0.23,0.23,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.186,0.28,0.53,0.53,2.12,0
0.0,0.135,0.0,0.0,0.0,0
0.0,0.0,0.0,0.56,0.0,0
0.069,0.83,1.32,0.0,0.0,0
0.0,1.192,0.0,0.0,0.0,0
0.046,0.585,0.0,0.0,0.0,0
0.013,0.095,0.08,0.34,0.17,0
0.147,0.294,0.0,0.0,0.0,0
0.252,1.18,0.0,1.62,0.54,0
0.013,0.108,0.08,0.34,0.17,0
0.253,1.183,0.0,1.61,0.53,0
0.0,0.067,0.0,0.0,0.51,0
0.321,1.045,0.0,0.0,0.0,0
0.184,0.985,0.0,0.38,0.0,0
0.186,0.869,0.0,0.39,0.0,0
0.0,0.915,1.29,0.0,0.43,0
0.112,0.187,0.0,1.6,0.45,0
0.0,0.615,0.0,0.0,0.0,0
0.0,0.893,0.0,0.0,0.0,0
0.068,0.816,1.31,0.0,0.0,0
0.0,0.353,0.0,0.0,0.0,0
0.15,0.563,0.44,0.44,0.22,0
0.223,0.287,0.34,0.34,0.34,0
0.0,0.0,0.0,0.0,0.0,0
1.417,0.202,0.0,0.0,0.0,0
0.253,1.182,0.0,1.62,0.54,0
0.0,0.08,0.0,0.0,0.0,0
0.165,0.165,0.0,0.0,0.0,0
0.022,0.0,0.02,0.37,0.07,0
0.022,0.0,0.02,0.37,0.07,0
0.185,0.212,0.08,0.89,0.17,0
0.267,0.468,0.0,0.96,0.0,0
0.816,0.081,0.0,1.38,0.46,0
0.061,0.366,0.34,0.34,1.03,0
0.063,0.633,0.54,0.0,0.0,0
0.021,0.779,0.39,0.13,0.26,0
0.157,0.0,0.32,0.0,0.0,0
0.159,0.0,0.32,0.0,0.0,0
0.032,0.258,0.19,0.0,0.19,0
0.112,0.188,0.0,1.61,0.46,0
0.0,1.094,0.0,0.0,0.0,0
0.171,0.0,0.0,0.0,0.0,0
0.752,0.884,0.0,0.0,0.0,0
0.0,0.683,0.0,0.0,0.0,0
0.08,0.773,0.0,0.0,0.16,0
0.0,0.0,0.0,0.0,0.0,0
0.278,1.113,0.84,0.0,0.84,0
0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.013,0.088,0.08,0.34,0.17,0
0.0,0.471,0.0,0.0,0.0,0
0.082,0.0,0.0,0.0,0.0,0
0.0,1.806,0.0,0.0,0.0,0
0.193,0.129,0.22,0.22,0.0,0
0.0,0.479,0.0,0.0,0.0,0
0.0,0.814,0.0,1.12,0.0,0
0.158,0.0,0.32,0.0,0.0,0
0.0,0.937,0.0,0.0,0.0,0
0.0,0.479,0.0,0.0,0.0,0
